City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
297,ghat,24.9647,10.1728,307.0,9,28,2.72,LY,1682680693
298,moussoro,13.6408,16.4901,314.8,6,85,5.95,TD,1682680694
299,island harbour,50.724,-1.2758,289.28,87,98,2.24,GB,1682680694
300,luganville,-15.5333,167.1667,298.3,85,23,1.5,VU,1682680694
301,shilka,51.85,116.0333,280.45,38,87,3.75,RU,1682680694
302,n'dalatando,-9.2978,14.9116,301.22,42,50,3.18,AO,1682680695
303,belyy yar,53.6039,91.3903,295.09,24,0,10.0,RU,1682680695
304,kawalu,-7.3817,108.2082,297.37,94,100,0.63,ID,1682680695
305,coquimbo,-29.9533,-71.3436,287.0,88,100,2.57,CL,1682680696
306,labasa,-16.4167,179.3833,298.6,89,15,0.6,FJ,1682680696
307,nar'yan-mar,67.6713,53.087,270.32,82,100,4.39,RU,1682680696
308,pandan,14.0453,124.1694,300.08,88,5,4.09,PH,1682680696
309,port blair,11.6667,92.75,303.06,67,70,1.49,IN,1682680697
310,belmonte,-15.8631,-38.8828,298.6,81,52,2.68,BR,1682680697
311,filadelfia,39.9523,-75.1638,284.29,89,100,5.14,US,1682680530
312,black forest,39.0131,-104.7008,272.67,89,100,10.8,US,1682680698
313,alice springs,-23.7,133.8833,293.9,46,100,6.75,AU,1682680698
314,naracoorte,-36.9579,140.7383,283.56,77,81,2.39,AU,1682680698
315,coxim,-18.5067,-54.76,294.25,91,0,1.42,BR,1682680698
316,kyelang,32.5833,77.0333,274.21,86,76,1.11,IN,1682680698
317,marica,-22.9194,-42.8186,295.12,86,86,2.3,BR,1682680699
318,qaqortoq,60.7167,-46.0333,273.76,61,6,3.87,GL,1682680699
319,tres arroyos,-38.3739,-60.2798,289.14,62,10,6.22,AR,1682680699
320,saldanha,-33.0117,17.9442,291.35,58,19,4.79,ZA,1682680699
321,chibougamau,49.9168,-74.3659,272.94,80,0,1.03,CA,1682680640
322,ndibene dahra,15.3338,-15.4766,310.93,13,0,6.84,SN,1682680700
323,sinop,41.7711,34.8709,282.39,89,94,3.33,TR,1682680700
324,juhaynah,26.6732,31.4976,303.7,19,0,7.88,EG,1682680701
325,balykshi,47.0667,51.8667,301.15,26,0,4.0,KZ,1682680701
326,badger,64.8,-147.5333,272.88,76,75,2.06,US,1682680701
327,verden,52.9167,9.2333,286.58,66,100,4.63,DE,1682680701
328,gadzhiyevo,69.2551,33.3362,273.06,79,3,8.96,RU,1682680702
329,obo,5.3998,26.4869,294.59,95,98,1.55,CF,1682680702
330,vernon,50.2581,-119.2691,282.2,56,61,4.12,CA,1682680702
331,sitka,57.0531,-135.33,279.09,81,100,0.0,US,1682680572
332,taoudenni,22.6783,-3.9836,313.03,7,0,7.64,ML,1682680703
333,viedma,-40.8135,-62.9967,288.67,49,49,5.0,AR,1682680704
334,san patricio,28.017,-97.5169,297.07,97,0,2.74,US,1682680704
335,wanxian,30.8039,108.3897,290.02,90,100,3.74,CN,1682680704
336,rongelap,11.1635,166.8941,300.22,83,43,8.77,MH,1682680704
337,marshall,34.3834,-86.3333,291.01,95,100,3.09,US,1682680554
338,mount pearl,47.5166,-52.7813,275.29,95,100,7.2,CA,1682680704
339,sirsa,29.5333,75.0167,308.07,19,82,1.41,IN,1682680705
340,casilda,-33.0442,-61.1681,290.63,89,6,4.23,AR,1682680705
341,nabire,-3.3667,135.4833,299.48,85,100,0.81,ID,1682680705
342,shiyan,32.6475,110.7781,291.91,23,100,6.58,CN,1682680706
343,kamloops,50.6665,-120.3192,281.7,58,75,4.63,CA,1682680706
344,tralee,52.2704,-9.7026,289.29,72,75,4.12,IE,1682680706
345,dipayal,29.2608,80.94,301.72,29,100,1.89,NP,1682680706
346,shendi,16.6915,33.4341,311.35,7,28,4.53,SD,1682680707
347,farafangana,-22.8167,47.8333,298.52,68,28,3.29,MG,1682680707
348,klyuchi,52.2667,79.1667,298.66,23,100,5.52,RU,1682680707
349,st. john's,47.5649,-52.7093,275.25,95,100,8.23,CA,1682680466
350,san julian,21.0167,-102.1667,286.42,21,3,1.65,MX,1682680708
351,saint-mandrier-sur-mer,43.078,5.929,299.69,68,20,3.6,FR,1682680708
352,popondetta,-8.7537,148.2534,296.71,97,89,1.27,PG,1682680708
353,hongjiang,27.11,109.9956,292.45,98,99,1.95,CN,1682680708
354,port-vila,-17.7338,168.3219,295.93,94,20,0.51,VU,1682680709
355,brandfort,-28.7001,26.4597,299.82,27,2,5.26,ZA,1682680709
356,lensk,60.7253,114.9278,276.64,91,89,0.95,RU,1682680710
357,port isabel,26.0734,-97.2086,295.38,93,75,0.45,US,1682680710
358,quibala,-10.7337,14.98,298.6,38,90,3.32,AO,1682680710
359,labuan,5.2767,115.2417,302.35,79,20,2.06,MY,1682680711
360,harper,4.375,-7.7169,302.39,71,78,2.59,LR,1682680711
361,zhangjiajie,29.1294,110.4783,290.54,81,100,3.31,CN,1682680711
362,guerrero negro,27.9769,-114.0611,287.16,88,50,5.45,MX,1682680711
363,kone,-21.0595,164.8658,294.5,86,30,1.9,NC,1682680712
